NAME                                                                          VERSION                               TYPE                          
HdrHistogram                                                                  2.2.2                                 java-archive                   
Java-WebSocket                                                                1.6.0                                 java-archive                   
Simple Launcher                                                               1.1.0.14                              binary        (+5 duplicates)  
abseil-cpp                                                                    20260817.0-2                          alpm                           
acl                                                                           2.4.0-1                               alpm                           
adwaita-cursors                                                               50.0-1                                alpm                           
adwaita-fonts                                                                 51.0-2                                alpm                           
adwaita-icon-theme                                                            50.0-1                                alpm                           
adwaita-icon-theme-legacy                                                     46.2-3                                alpm                           
aiofiles                                                                      25.1.0                                python                         
aiohappyeyeballs                                                              2.7.1                                 python                         
aiohttp                                                                       3.14.3                                python                         
aioice                                                                        0.10.2                                python                         
aiosignal                                                                     1.4.0                                 python                         
alsa-lib                                                                      1.2.16.1-1                            alpm                           
alsa-topology-conf                                                            1.2.5.1-4                             alpm                           
alsa-ucm-conf                                                                 1.2.16.1-1                            alpm                           
annotated-doc                                                                 0.0.5                                 python                         
annotated-types                                                               0.8.0                                 python                         
annotations                                                                   UNKNOWN                               java-archive                   
ant                                                                           1.9.4                                 java-archive                   
anyio                                                                         4.15.1                                python                         
archlinux-keyring                                                             20260909-1                            alpm                           
asciidoctor-vscode                                                            3.4.6-dev                             npm                            
asm                                                                           UNKNOWN                               java-archive                   
assertj-core                                                                  4.0.0-M1                              java-archive  (+1 duplicate)   
assertj-swing                                                                 3.17.1                                java-archive                   
at-spi2-core                                                                  2.60.7-1                              alpm                           
attr                                                                          2.6.0-1                               alpm                           
attrs                                                                         26.1.0                                python                         
audit                                                                         4.2.1-1                               alpm                           
autocommand                                                                   2.2.2                                 python                         
autoconf                                                                      2.73-1                                alpm                           
automake                                                                      1.18.1-1                              alpm                           
automaton                                                                     1.12-4                                java-archive                   
av                                                                            18.1.0                                python                         
avahi                                                                         1:0.9rc5-1                            alpm                           
base-devel                                                                    1-2                                   alpm                           
bash                                                                          5.3.20-1                              alpm                           
bat                                                                           10.0.0                                npm                            
binutils                                                                      2.47-4                                alpm                           
bison                                                                         3.8.2-8                               alpm                           
blockmap                                                                      UNKNOWN                               java-archive                   
boost-libs                                                                    1.92.0-1                              alpm                           
brotli                                                                        1.2.0-1                               alpm                           
bubblewrap                                                                    0.12.0-1                              alpm                           
busybox                                                                       1.36.1-4                              alpm                           
bzip2                                                                         1.0.8-6                               alpm                           
ca-certificates                                                               20240618-1                            alpm                           
